OrderID,CustomerID,OrderDate,ProductID,Quantity,Discount,PaymentMethod,Status,Age,City,SignupDate,CustomerSegment,ProductName,Category,UnitPrice,Sales,OrderValue
500045,100241,6/18/2025,2017,2,5,Gateway,Completed,,Tehran,12/20/2023,Regular,HDMI Cable,Accessories,11,21,21
500046,107541,2/22/2025,2002,1,5,CardToCard,Completed,49,Mashhad,6/2/2024,Regular,Mechanical Keyboard,Electronics,62,59,59
500047,109317,5/16/2026,2003,3,0,CardToCard,Completed,65,Tabriz,12/2/2023,Regular,USB-C Cable,Accessories,9,27,27
500048,109778,8/16/2024,2010,2,0,Cash,Completed,36,Tehran,11/13/2023,New,Fitness Band,Wearables,55,110,110
500049,102735,1/28/2026,2003,2,0,CardToCard,Completed,39,Qom,1/3/2025,VIP,USB-C Cable,Accessories,9,18,18
500050,103894,2/1/2025,2017,1,5,Gateway,Completed,27,Tehran,9/25/2025,Regular,HDMI Cable,Accessories,11,10,10
500051,102673,4/26/2024,2011,1,0,Gateway,Completed,58,Rasht,7/26/2025,New,Desk Lamp,Home Office,32,32,32
500052,108100,7/25/2024,2013,3,10,Wallet,Completed,52,Mashhad,9/17/2024,VIP,Notebook,Stationery,7,19,19
500053,106454,10/14/2025,2013,1,0,Wallet,Completed,50,Tehran,2/26/2023,New,Notebook,Stationery,7,7,7
500054,106300,12/15/2025,2011,1,20,Wallet,Returned,26,Tabriz,8/7/2025,New,Desk Lamp,Home Office,32,26,26
500055,109861,2/4/2024,2011,2,15,Cash,Completed,43,Tehran,11/7/2024,New,Desk Lamp,Home Office,32,54,54
500056,108499,12/20/2024,2018,2,0,Wallet,Completed,46,Tehran,1/17/2023,New,Microphone,Electronics,85,170,170
500057,101360,3/2/2025,2011,1,0,Gateway,Completed,35,Isfahan,3/13/2025,New,Desk Lamp,Home Office,32,32,32
500058,104257,6/15/2025,2010,2,0,Gateway,Completed,33,Tehran,6/5/2024,New,Fitness Band,Wearables,55,110,110
500059,109227,7/16/2025,2003,1,0,Wallet,Completed,52,Tehran,7/8/2024,New,USB-C Cable,Accessories,9,9,9
500060,104648,12/18/2025,2009,2,15,Wallet,Completed,,Isfahan,4/25/2023,Regular,Smart Watch,Wearables,120,204,204
500061,103566,8/24/2024,2011,2,0,Cash,Completed,30,Mashhad,1/4/2023,New,Desk Lamp,Home Office,32,64,64
500062,103020,4/6/2024,2007,3,5,Gateway,Completed,53,Tabriz,5/7/2023,New,Headphones,Electronics,75,214,214
500063,106946,6/10/2024,2011,1,0,Gateway,Completed,44,Tabriz,7/19/2025,Regular,Desk Lamp,Home Office,32,32,32
500064,107003,4/11/2026,2015,2,10,CardToCard,Completed,64,Tehran,6/14/2023,Regular,Bluetooth Speaker,Electronics,58,104,104
500065,104518,4/17/2025,2014,1,0,CardToCard,Completed,20,Mashhad,1/11/2024,Regular,Backpack,Accessories,42,42,42
500066,102799,7/8/2024,2017,1,5,Gateway,Completed,51,Mashhad,12/30/2023,New,HDMI Cable,Accessories,11,10,10
500067,100378,11/9/2025,2013,1,5,Gateway,Completed,53,Karaj,8/31/2023,Regular,Notebook,Stationery,7,7,7
500068,104093,5/22/2025,2002,1,5,Wallet,Cancelled,35,Tehran,10/25/2025,Regular,Mechanical Keyboard,Electronics,62,59,59
500069,103550,11/13/2024,2011,4,10,Gateway,Returned,48,Tabriz,6/22/2024,New,Desk Lamp,Home Office,32,115,115
500070,105158,1/16/2024,2003,3,0,Gateway,Completed,23,Qom,11/6/2024,New,USB-C Cable,Accessories,9,27,27
500071,100053,11/7/2025,2008,1,10,Wallet,Completed,35,Shiraz,2/27/2024,Regular,Phone Case,Accessories,14,13,13
500072,108212,9/12/2025,2017,1,20,CardToCard,Completed,,Mashhad,5/11/2023,New,HDMI Cable,Accessories,11,9,9
500073,102545,8/14/2024,2002,2,5,Gateway,Completed,56,Shiraz,2/22/2023,New,Mechanical Keyboard,Electronics,62,118,118
500074,106487,8/17/2024,2014,5,10,Gateway,Completed,55,Kerman,6/11/2025,Regular,Backpack,Accessories,42,189,189
500075,104951,8/22/2024,2007,1,5,Wallet,Completed,33,Tehran,1/18/2025,New,Headphones,Electronics,75,71,71
500076,105369,8/2/2025,2014,3,5,Gateway,Completed,49,Isfahan,12/10/2024,Regular,Backpack,Accessories,42,120,120
500077,108987,9/11/2024,2003,2,30,Gateway,Completed,53,Tehran,6/6/2025,Regular,USB-C Cable,Accessories,9,13,13
500078,100771,9/25/2024,2002,2,30,CardToCard,Completed,49,Qom,1/20/2025,New,Mechanical Keyboard,Electronics,62,87,87
500079,103388,11/21/2024,2015,2,20,Wallet,Completed,53,Shiraz,6/13/2023,New,Bluetooth Speaker,Electronics,58,93,93
500080,100685,6/5/2026,2013,1,0,Gateway,Cancelled,26,Isfahan,4/22/2025,New,Notebook,Stationery,7,7,7
500081,107845,2/1/2025,2018,2,0,Gateway,Completed,26,Tehran,4/23/2024,Regular,Microphone,Electronics,85,170,170
500082,103580,11/22/2024,2007,3,5,CardToCard,Completed,21,Tehran,9/24/2023,Regular,Headphones,Electronics,75,214,214
500083,104496,2/10/2025,2008,1,0,Wallet,Completed,48,Tehran,6/2/2023,Regular,Phone Case,Accessories,14,14,14
500084,100243,9/13/2025,2013,3,5,CardToCard,Completed,22,Mashhad,5/21/2023,New,Notebook,Stationery,7,20,20
500085,106025,2/3/2026,2003,1,0,Gateway,Completed,41,Tehran,2/23/2023,New,USB-C Cable,Accessories,9,9,9
500086,102251,6/19/2026,2001,1,0,Gateway,Completed,42,Shiraz,5/24/2025,Regular,Wireless Mouse,Electronics,18,18,18
500087,100613,2/23/2025,2015,2,0,Gateway,Completed,,Mashhad,7/24/2024,New,Bluetooth Speaker,Electronics,58,116,116
500088,109509,2/1/2025,2008,3,5,CardToCard,Completed,57,Tabriz,11/11/2025,Regular,Phone Case,Accessories,14,40,40
500089,105172,10/12/2024,2019,2,5,Gateway,Completed,39,Mashhad,12/28/2025,Regular,Tablet,Electronics,260,494,494
500090,102165,11/4/2025,2003,4,10,Wallet,Completed,63,Rasht,1/23/2024,New,USB-C Cable,Accessories,9,32,32
500091,103486,7/20/2025,2003,1,10,Cash,Cancelled,19,Ahvaz,8/29/2025,Regular,USB-C Cable,Accessories,9,8,8
500092,107995,11/9/2024,2001,5,5,CardToCard,Completed,58,Qom,2/6/2025,Regular,Wireless Mouse,Electronics,18,86,86
500094,106590,6/26/2024,2015,2,30,Gateway,Completed,41,Tehran,12/6/2025,Regular,Bluetooth Speaker,Electronics,58,81,81
500095,102948,8/22/2025,2020,1,15,Gateway,Completed,41,Isfahan,11/3/2025,Regular,Gaming Controller,Gaming,68,58,58
500096,101255,8/5/2024,2018,1,0,CardToCard,Completed,49,Rasht,4/30/2025,Regular,Microphone,Electronics,85,85,85
500097,100083,10/29/2024,2004,1,30,Gateway,Completed,25,Isfahan,12/19/2023,Regular,Power Bank,Electronics,35,24,24
500098,102041,2/29/2024,2017,3,0,Gateway,Cancelled,31,Tabriz,3/28/2025,Regular,HDMI Cable,Accessories,11,33,33
500099,109236,7/9/2024,2014,4,10,CardToCard,Completed,44,Isfahan,3/24/2024,New,Backpack,Accessories,42,151,151
500100,100300,6/17/2024,2005,3,0,CardToCard,Completed,19,Tehran,11/2/2025,New,Laptop Stand,Accessories,28,84,84
500101,100163,9/27/2025,2008,2,15,Gateway,Completed,37,Tehran,8/22/2024,Regular,Phone Case,Accessories,14,24,24
500102,100303,8/23/2025,2010,1,0,Gateway,Completed,18,Karaj,10/25/2023,Regular,Fitness Band,Wearables,55,55,55
500103,107340,4/10/2025,2005,1,5,Gateway,Completed,45,Tabriz,8/26/2024,New,Laptop Stand,Accessories,28,27,27
500104,108874,11/30/2024,2005,1,10,CardToCard,Completed,57,Rasht,12/4/2024,Regular,Laptop Stand,Accessories,28,25,25
500105,104487,2/10/2026,2015,1,15,Gateway,Completed,44,Tabriz,4/2/2023,Regular,Bluetooth Speaker,Electronics,58,49,49
500106,109797,2/3/2026,2007,3,0,Gateway,Completed,47,Isfahan,11/2/2024,Regular,Headphones,Electronics,75,225,225
500107,103568,6/4/2025,2007,3,10,Wallet,Completed,25,Isfahan,6/25/2023,Regular,Headphones,Electronics,75,202,202
500108,109290,7/22/2025,2018,4,0,Wallet,Completed,31,Mashhad,2/9/2023,Regular,Microphone,Electronics,85,340,340
500109,104967,11/19/2025,2017,2,5,Gateway,Completed,28,Mashhad,8/15/2023,New,HDMI Cable,Accessories,11,21,21
500110,103549,9/16/2025,2003,1,15,Gateway,Cancelled,41,Karaj,2/2/2024,Regular,USB-C Cable,Accessories,9,8,8
500111,108820,7/13/2024,2003,3,0,Gateway,Completed,25,Qom,8/5/2025,VIP,USB-C Cable,Accessories,9,27,27
500112,100737,3/10/2025,2005,2,10,Gateway,Completed,53,,8/3/2025,Regular,Laptop Stand,Accessories,28,50,50
500113,101140,5/11/2024,2013,1,15,Gateway,Cancelled,43,Isfahan,1/4/2023,VIP,Notebook,Stationery,7,6,6
500114,107642,11/30/2025,2007,3,0,Gateway,Completed,54,Shiraz,10/28/2023,Regular,Headphones,Electronics,75,225,225
500115,109188,7/18/2025,2008,2,0,Gateway,Completed,,Isfahan,11/11/2023,New,Phone Case,Accessories,14,28,28
500116,102851,6/4/2026,2001,1,5,Gateway,Completed,27,Shiraz,7/27/2024,Regular,Wireless Mouse,Electronics,18,17,17
500117,106117,4/28/2024,2008,2,15,Wallet,Returned,58,Tehran,8/27/2024,Regular,Phone Case,Accessories,14,24,24
500118,101946,3/16/2025,2005,1,5,Gateway,Completed,41,Karaj,2/6/2025,Regular,Laptop Stand,Accessories,28,27,27
500119,101651,9/17/2025,2007,3,0,Gateway,Completed,41,,5/19/2024,Regular,Headphones,Electronics,75,225,225
500120,104593,1/19/2026,2001,5,0,Gateway,Completed,21,Rasht,1/21/2023,Regular,Wireless Mouse,Electronics,18,90,90
500121,109488,1/7/2026,2008,3,0,CardToCard,Completed,31,Qom,8/15/2023,VIP,Phone Case,Accessories,14,42,42
500122,100808,6/23/2024,2012,2,15,Gateway,Completed,23,Ahvaz,1/22/2025,VIP,Office Chair,Home Office,180,306,306
500123,108989,6/8/2026,2008,1,15,Gateway,Completed,18,,6/24/2025,New,Phone Case,Accessories,14,12,12
500124,100247,6/7/2026,2002,1,30,CardToCard,Completed,54,Isfahan,10/30/2023,New,Mechanical Keyboard,Electronics,62,43,43
500125,109971,5/22/2026,2007,4,30,Gateway,Completed,27,Karaj,3/18/2025,Regular,Headphones,Electronics,75,210,210
500126,105041,6/14/2025,2005,4,5,Cash,Completed,34,Tehran,8/14/2025,New,Laptop Stand,Accessories,28,106,106
500127,108080,12/19/2025,2007,2,0,CardToCard,Completed,57,Kerman,4/23/2025,VIP,Headphones,Electronics,75,150,150
500128,106290,3/6/2024,2014,1,5,CardToCard,Completed,57,,5/15/2025,New,Backpack,Accessories,42,40,40
500129,108436,8/8/2024,2019,1,0,Gateway,Completed,21,Isfahan,2/2/2025,Regular,Tablet,Electronics,260,260,260
500130,106102,3/20/2024,2012,1,30,Gateway,Completed,,Tehran,10/14/2025,Regular,Office Chair,Home Office,180,126,126
500131,101553,3/12/2025,2007,1,5,Wallet,Completed,43,Ahvaz,7/25/2023,VIP,Headphones,Electronics,75,71,71
500132,100253,5/17/2026,2008,1,5,Gateway,Completed,27,Tehran,6/28/2024,New,Phone Case,Accessories,14,13,13
500133,108318,7/14/2025,2017,2,10,Gateway,Completed,39,Mashhad,5/8/2023,Regular,HDMI Cable,Accessories,11,20,20
500134,100871,2/2/2025,2017,1,0,CardToCard,Completed,39,Tabriz,4/23/2023,New,HDMI Cable,Accessories,11,11,11
500135,107244,11/16/2025,2017,2,30,CardToCard,Completed,31,Qom,6/11/2025,New,HDMI Cable,Accessories,11,15,15
500136,101858,4/20/2025,2018,2,0,Gateway,Completed,41,Mashhad,2/21/2024,New,Microphone,Electronics,85,170,170
500137,106607,1/30/2025,2017,3,5,CardToCard,Completed,59,Tabriz,12/3/2024,New,HDMI Cable,Accessories,11,31,31
500138,103340,6/27/2025,2007,1,0,Gateway,Completed,59,,8/1/2024,Regular,Headphones,Electronics,75,75,75
500139,108835,3/18/2025,2011,4,5,CardToCard,Completed,63,Karaj,10/25/2025,Regular,Desk Lamp,Home Office,32,122,122
500140,107286,7/8/2025,2008,1,20,Wallet,Completed,41,Tehran,2/10/2025,Regular,Phone Case,Accessories,14,11,11
500141,104773,11/24/2025,2010,2,5,Gateway,Completed,26,Karaj,6/9/2023,New,Fitness Band,Wearables,55,104,104
500142,100252,2/3/2025,2010,1,10,CardToCard,Completed,41,Tehran,9/12/2024,VIP,Fitness Band,Wearables,55,50,50
500143,103103,12/24/2024,2016,2,10,Gateway,Completed,18,Karaj,12/9/2023,Regular,Monitor,Electronics,21,38,38
500145,107442,3/1/2026,2008,2,15,CardToCard,Completed,48,Tabriz,10/24/2025,Regular,Phone Case,Accessories,14,24,24
500146,107442,12/31/2024,2009,4,0,Cash,Completed,,Tabriz,10/24/2025,Regular,Smart Watch,Wearables,120,480,480
500147,104242,1/2/2026,2010,4,0,Wallet,Completed,31,Isfahan,1/16/2024,New,Fitness Band,Wearables,55,220,220
500148,103890,6/17/2025,2013,3,10,Wallet,Completed,57,Tehran,10/26/2025,New,Notebook,Stationery,7,19,19
500149,105747,1/11/2024,2009,2,30,CardToCard,Completed,38,Isfahan,11/16/2024,Regular,Smart Watch,Wearables,120,168,168
500150,104546,2/15/2025,2014,1,5,CardToCard,Completed,54,Tehran,4/23/2024,Regular,Backpack,Accessories,42,40,40
500151,104785,6/30/2024,2006,4,5,Gateway,Completed,58,Shiraz,12/1/2024,Regular,Webcam,Electronics,48,182,182
500152,101032,5/10/2024,2012,1,0,Wallet,Completed,26,Isfahan,10/22/2023,Regular,Office Chair,Home Office,180,180,180
500153,108727,7/21/2024,2018,1,0,CardToCard,Completed,60,,4/26/2025,New,Microphone,Electronics,85,85,85
500154,102971,9/7/2025,2007,1,15,Wallet,Completed,47,Tabriz,2/13/2024,New,Headphones,Electronics,75,64,64
500155,103997,6/26/2025,2003,2,5,Wallet,Returned,19,Ahvaz,10/23/2024,Regular,USB-C Cable,Accessories,9,17,17
500156,103396,4/8/2025,2014,1,10,Gateway,Completed,56,Shiraz,8/2/2023,Regular,Backpack,Accessories,42,38,38
500157,109573,3/3/2025,2014,1,15,Gateway,Completed,25,Tehran,7/31/2025,New,Backpack,Accessories,42,36,36
500158,109579,12/2/2024,2009,2,30,CardToCard,Completed,41,Tehran,10/1/2024,New,Smart Watch,Wearables,120,168,168
500159,109132,2/6/2026,2003,2,5,Gateway,Completed,49,Kerman,10/9/2024,Regular,USB-C Cable,Accessories,9,17,17
500160,105558,4/6/2026,2007,3,0,Cash,Completed,30,Tehran,3/15/2023,Regular,Headphones,Electronics,75,225,225
500161,103309,10/22/2025,2016,1,10,Cash,Completed,,Mashhad,8/1/2025,VIP,Monitor,Electronics,21,19,19
500162,101330,9/6/2024,2014,1,20,Gateway,Completed,34,Tehran,7/19/2023,Regular,Backpack,Accessories,42,34,34
500163,105525,3/13/2026,2006,1,0,CardToCard,Completed,47,Rasht,3/13/2024,New,Webcam,Electronics,48,48,48
500164,107488,12/8/2025,2004,2,5,Gateway,Completed,42,Isfahan,11/3/2025,Regular,Power Bank,Electronics,35,66,66
500165,106784,4/17/2024,2003,1,20,CardToCard,Completed,51,Karaj,9/12/2023,Regular,USB-C Cable,Accessories,9,7,7
500166,109289,10/22/2024,2007,3,0,Gateway,Completed,41,,1/23/2024,New,Headphones,Electronics,75,225,225
500167,109697,10/10/2024,2004,2,0,Cash,Cancelled,38,Tehran,11/25/2023,New,Power Bank,Electronics,35,70,70
500168,100360,9/22/2025,2008,5,0,Gateway,Completed,53,Qom,9/3/2023,Regular,Phone Case,Accessories,14,70,70
500169,104134,3/28/2025,2003,1,0,Wallet,Completed,42,Shiraz,11/21/2023,New,USB-C Cable,Accessories,9,9,9
500170,105228,8/18/2024,2008,1,10,Cash,Completed,55,Tehran,10/24/2024,Regular,Phone Case,Accessories,14,13,13
500171,105936,7/18/2024,2011,2,0,CardToCard,Completed,31,Tehran,8/25/2024,New,Desk Lamp,Home Office,32,64,64
500172,104045,1/30/2025,2001,1,5,Gateway,Completed,37,Mashhad,3/27/2024,VIP,Wireless Mouse,Electronics,18,17,17
500173,106613,7/29/2025,2008,1,15,Gateway,Cancelled,62,Tehran,4/26/2023,New,Phone Case,Accessories,14,12,12
500174,106216,3/15/2025,2016,1,10,Gateway,Completed,41,Tehran,5/5/2024,New,Monitor,Electronics,21,19,19
500175,105281,8/13/2024,2005,4,0,Gateway,Completed,52,Tabriz,1/11/2025,Regular,Laptop Stand,Accessories,28,112,112
500176,101073,6/19/2025,2017,1,5,Cash,Completed,54,Tehran,10/9/2024,Regular,HDMI Cable,Accessories,11,10,10
500177,102785,6/29/2026,2002,2,10,CardToCard,Completed,61,Mashhad,2/24/2023,New,Mechanical Keyboard,Electronics,62,112,112
500178,101517,6/1/2024,2013,1,15,Wallet,Completed,41,Karaj,10/22/2023,Regular,Notebook,Stationery,7,6,6
500179,103489,4/1/2025,2008,1,0,Gateway,Completed,39,,3/23/2025,Regular,Phone Case,Accessories,14,14,14
500180,105531,11/20/2024,2014,1,5,CardToCard,Completed,,Karaj,6/4/2024,New,Backpack,Accessories,42,40,40
500181,103745,7/7/2024,2010,2,0,Gateway,Completed,29,Shiraz,8/20/2023,Regular,Fitness Band,Wearables,55,110,110
500182,104872,1/26/2026,2003,1,10,Cash,Completed,63,Qom,7/4/2025,Regular,USB-C Cable,Accessories,9,8,8
500183,102886,5/8/2026,2016,1,5,Gateway,Completed,25,Mashhad,9/5/2023,Regular,Monitor,Electronics,21,20,20
500184,106987,10/29/2024,2017,3,5,Gateway,Completed,43,Tehran,4/2/2023,New,HDMI Cable,Accessories,11,31,31
500185,105068,10/27/2024,2013,1,0,Gateway,Completed,18,Kerman,9/21/2023,New,Notebook,Stationery,7,7,7
500186,107190,3/20/2024,2007,1,0,Gateway,Completed,20,Tehran,3/10/2023,Regular,Headphones,Electronics,75,75,75
500187,100617,6/17/2025,2003,3,20,Gateway,Completed,41,Isfahan,12/23/2024,Regular,USB-C Cable,Accessories,9,22,22
500188,108226,1/24/2024,2002,1,5,Cash,Completed,41,Mashhad,11/28/2024,Regular,Mechanical Keyboard,Electronics,62,59,59
500189,107802,3/4/2025,2014,2,15,Gateway,Completed,24,Tabriz,2/10/2025,Regular,Backpack,Accessories,42,71,71
500190,107506,5/12/2024,2004,1,10,Wallet,Completed,39,Tehran,10/4/2025,VIP,Power Bank,Electronics,35,32,32
500191,100026,8/3/2025,2012,2,0,Cash,Completed,48,Tabriz,6/11/2025,New,Office Chair,Home Office,180,360,360
500192,109461,4/1/2026,2015,1,10,Wallet,Completed,25,Tabriz,8/20/2024,Regular,Bluetooth Speaker,Electronics,58,52,52
500193,106441,3/17/2024,2008,1,5,Gateway,Completed,58,Mashhad,12/7/2025,New,Phone Case,Accessories,14,13,13
500194,105983,11/2/2025,2013,2,5,CardToCard,Completed,62,,7/8/2025,Regular,Notebook,Stationery,7,13,13
500195,100659,12/18/2025,2005,1,5,CardToCard,Completed,21,Tehran,11/25/2025,New,Laptop Stand,Accessories,28,27,27
500196,107716,6/1/2024,2008,1,5,Gateway,Completed,39,Tehran,11/17/2025,Regular,Phone Case,Accessories,14,13,13
500197,109561,3/24/2026,2008,2,10,CardToCard,Returned,44,Shiraz,3/9/2024,Regular,Phone Case,Accessories,14,25,25
500198,109142,6/20/2025,2011,1,5,Gateway,Completed,32,Tehran,12/15/2025,Regular,Desk Lamp,Home Office,32,30,30
500199,105852,4/7/2025,2011,2,0,Gateway,Completed,46,Isfahan,3/31/2024,New,Desk Lamp,Home Office,32,64,64
500200,104768,8/3/2025,2008,2,10,CardToCard,Completed,18,Tabriz,5/29/2025,VIP,Phone Case,Accessories,14,25,25
500201,104200,9/6/2024,2001,3,0,Gateway,Completed,29,Isfahan,11/26/2025,New,Wireless Mouse,Electronics,18,54,54
500202,101186,1/23/2024,2009,2,0,Gateway,Cancelled,32,Karaj,8/17/2024,New,Smart Watch,Wearables,120,240,240
500203,103758,1/17/2025,2008,1,0,Cash,Completed,44,Tehran,12/3/2023,New,Phone Case,Accessories,14,14,14
500204,108390,10/4/2025,2013,1,15,Gateway,Completed,31,Kerman,10/26/2025,New,Notebook,Stationery,7,6,6
500205,109364,3/19/2026,2003,1,0,CardToCard,Completed,,Shiraz,8/28/2025,VIP,USB-C Cable,Accessories,9,9,9
500206,101183,1/6/2025,2020,2,0,CardToCard,Completed,51,Qom,12/10/2024,Regular,Gaming Controller,Gaming,68,136,136
500207,101856,8/16/2024,2018,1,5,Gateway,Completed,58,Mashhad,1/20/2025,Regular,Microphone,Electronics,85,81,81
500208,103338,4/23/2024,2014,3,5,Wallet,Completed,20,Tehran,6/24/2024,New,Backpack,Accessories,42,120,120
500209,104657,4/10/2026,2006,1,15,Cash,Completed,24,Isfahan,6/8/2025,Regular,Webcam,Electronics,48,41,41
500211,105761,3/9/2026,2009,1,0,Wallet,Completed,23,Tehran,10/11/2024,Regular,Smart Watch,Wearables,120,120,120
500212,102102,6/7/2024,2014,2,0,Gateway,Completed,50,Tehran,2/25/2025,New,Backpack,Accessories,42,84,84
500213,101342,1/16/2024,2008,1,10,Gateway,Completed,24,Tehran,6/18/2025,New,Phone Case,Accessories,14,13,13
500214,102133,7/12/2024,2008,1,10,Gateway,Completed,42,Tehran,5/5/2024,Regular,Phone Case,Accessories,14,13,13
500215,101884,3/1/2025,2014,1,10,Gateway,Completed,58,Qom,12/7/2024,Regular,Backpack,Accessories,42,38,38
500216,108279,10/28/2024,2008,1,10,Wallet,Completed,26,Mashhad,6/20/2025,VIP,Phone Case,Accessories,14,13,13
500217,101096,3/5/2026,2014,3,10,Gateway,Completed,21,Mashhad,1/24/2024,New,Backpack,Accessories,42,113,113
500218,103404,4/16/2025,2013,1,5,Gateway,Completed,65,Ahvaz,3/28/2023,VIP,Notebook,Stationery,7,7,7
